% Model:              geometry_test_remi_eugenie_sans_cellule_ter.mph
% Version:            COMSOL 6.2.0.415
% Date:               Oct 7 2024, 16:26
% Dimension:          3
% Nodes:              508
% Expressions:        21
% Description:        Potentiel électrique
% Length unit:        µm
% x                       y                        z                        V (V) @ freq=1000                                 V (V) @ freq=1258.9                               V (V) @ freq=1584.9                               V (V) @ freq=1995.3                               V (V) @ freq=2511.9                               V (V) @ freq=3162.3                               V (V) @ freq=3981.1                               V (V) @ freq=5011.9                               V (V) @ freq=6309.6                               V (V) @ freq=7943.3                               V (V) @ freq=10000                                V (V) @ freq=12589                                V (V) @ freq=15849                                V (V) @ freq=19953                                V (V) @ freq=25119                                V (V) @ freq=31623                                V (V) @ freq=39811                                V (V) @ freq=50119                                V (V) @ freq=63096                                V (V) @ freq=79433                                V (V) @ freq=1E5
-87.05532820139938        -23.326502830726294      -5.551115123125783E-17   0.001618084186165196                              0.0016180841861651923                             0.0016180841861651914                             0.0016180841861651984                             0.0016180841861651986                             0.001618084186165191                              0.0016180841861652005                             0.0016180841861651953                             0.0016180841861651995                             0.0016180841861651966                             0.0016180841861652003                             0.0016180841861651914                             0.0016180841861651925                             0.0016180841861651953                             0.0016180841861651908                             0.0016180841861651966                             0.0016180841861651897                             0.0016180841861652025                             0.001618084186165202                              0.0016180841861651956                             0.0016180841861651854
-86.94129829862624        -40                      0                        0.0016323379260658596                             0.001632337926065854                              0.0016323379260658548                             0.001632337926065863                              0.0016323379260658605                             0.0016323379260658542                             0.0016323379260658644                             0.0016323379260658587                             0.0016323379260658635                             0.0016323379260658596                             0.0016323379260658635                             0.0016323379260658553                             0.0016323379260658548                             0.0016323379260658587                             0.0016323379260658535                             0.0016323379260658587                             0.0016323379260658522                             0.0016323379260658644                             0.0016323379260658648                             0.0016323379260658587                             0.001632337926065848
-87.15855060929287        -22.47316705015371       -2.498001805406602E-16   0.001605181383488576                              0.0016051813834885723                             0.0016051813834885714                             0.0016051813834885784                             0.0016051813834885788                             0.001605181383488571                              0.0016051813834885805                             0.0016051813834885755                             0.0016051813834885794                             0.0016051813834885766                             0.0016051813834885803                             0.0016051813834885714                             0.0016051813834885725                             0.0016051813834885755                             0.001605181383488571                              0.0016051813834885766                             0.0016051813834885697                             0.0016051813834885823                             0.001605181383488582                              0.0016051813834885758                             0.0016051813834885656
-95.50378622702513        -0.5795490689558589      6.661338147750939E-16    5.620267950936644E-4                              5.62026795093663E-4                               5.620267950936629E-4                              5.620267950936647E-4                              5.620267950936648E-4                              5.620267950936624E-4                              5.620267950936656E-4                              5.620267950936643E-4                              5.620267950936658E-4                              5.620267950936643E-4                              5.620267950936661E-4                              5.620267950936632E-4                              5.620267950936628E-4                              5.620267950936648E-4                              5.620267950936623E-4                              5.620267950936642E-4                              5.620267950936611E-4                              5.62026795093665E-4                               5.620267950936661E-4                              5.620267950936638E-4                              5.620267950936605E-4
-97.31007121681871        7.663143554464401        0                        3.362411418532934E-4                              3.362411418532925E-4                              3.3624114185329244E-4                             3.362411418532935E-4                              3.3624114185329363E-4                             3.362411418532922E-4                              3.3624114185329407E-4                             3.362411418532933E-4                              3.3624114185329423E-4                             3.362411418532933E-4                              3.3624114185329445E-4                             3.3624114185329266E-4                             3.362411418532924E-4                              3.3624114185329363E-4                             3.3624114185329217E-4                             3.3624114185329325E-4                             3.362411418532914E-4                              3.362411418532938E-4                              3.3624114185329445E-4                             3.3624114185329304E-4                             3.3624114185329103E-4
-90.74719257834623        2.908573422304153        -8.881784197001252E-16   0.001156601079112958                              0.001156601079112956                              0.0011566010791129553                             0.0011566010791129594                             0.0011566010791129598                             0.001156601079112955                              0.001156601079112961                              0.001156601079112959                              0.0011566010791129611                             0.001156601079112958                              0.001156601079112962                              0.0011566010791129557                             0.0011566010791129548                             0.0011566010791129587                             0.0011566010791129544                             0.001156601079112958                              0.0011566010791129518                             0.0011566010791129605                             0.001156601079112962                              0.0011566010791129574                             0.00115660107911295
-94.86126957751986        23.860891785126555       8.881784197001252E-16    6.423413871580458E-4                              6.42341387158045E-4                               6.423413871580441E-4                              6.423413871580472E-4                              6.42341387158047E-4                               6.423413871580438E-4                              6.42341387158047E-4                               6.423413871580462E-4                              6.423413871580479E-4                              6.423413871580459E-4                              6.423413871580481E-4                              6.423413871580447E-4                              6.42341387158044E-4                               6.423413871580461E-4                              6.423413871580444E-4                              6.423413871580458E-4                              6.423413871580425E-4                              6.423413871580474E-4                              6.423413871580488E-4                              6.423413871580461E-4                              6.423413871580414E-4
-86.0514522414243         15.575552740020639       -4.3368086899420177E-19  0.0017435686984192012                             0.0017435686984191975                             0.0017435686984191962                             0.0017435686984192047                             0.0017435686984192031                             0.0017435686984191956                             0.0017435686984192049                             0.0017435686984192014                             0.0017435686984192066                             0.001743568698419202                              0.0017435686984192077                             0.0017435686984191986                             0.0017435686984191962                             0.0017435686984192018                             0.0017435686984191958                             0.0017435686984192012                             0.0017435686984191932                             0.001743568698419206                              0.0017435686984192099                             0.0017435686984192014                             0.0017435686984191914
-84.01568436566531        -35.53020012783568       0                        0.0019980397152869612                             0.0019980397152869565                             0.0019980397152869565                             0.001998039715286965                              0.001998039715286963                              0.001998039715286955                              0.0019980397152869677                             0.0019980397152869617                             0.0019980397152869673                             0.001998039715286962                              0.0019980397152869664                             0.0019980397152869565                             0.0019980397152869573                             0.0019980397152869612                             0.0019980397152869547                             0.0019980397152869617                             0.0019980397152869526                             0.0019980397152869686                             0.0019980397152869686                             0.00199803971528696                               0.001998039715286948
-96.16015744597004        -5.955462872222099       0                        4.799803818648083E-4                              4.7998038186480743E-4                             4.7998038186480754E-4                             4.799803818648096E-4                              4.799803818648092E-4                              4.799803818648069E-4                              4.799803818648099E-4                              4.7998038186480895E-4                             4.7998038186480987E-4                             4.799803818648086E-4                              4.799803818648099E-4                              4.799803818648074E-4                              4.799803818648077E-4                              4.799803818648089E-4                              4.799803818648072E-4                              4.7998038186480857E-4                             4.7998038186480635E-4                             4.7998038186481E-4                                4.7998038186481063E-4                             4.7998038186480776E-4                             4.7998038186480526E-4
