% Model:              geometry_test_remi_eugenie_sans_cellule_ter.mph
% Version:            COMSOL 6.2.0.415
% Date:               Oct 8 2024, 17:03
% Dimension:          3
% Nodes:              508
% Expressions:        21
% Description:        Potentiel électrique
% Length unit:        µm
% x                       y                        z                        V (V) @ freq=1000                                 V (V) @ freq=1258.9                               V (V) @ freq=1584.9                               V (V) @ freq=1995.3                               V (V) @ freq=2511.9                               V (V) @ freq=3162.3                               V (V) @ freq=3981.1                               V (V) @ freq=5011.9                               V (V) @ freq=6309.6                               V (V) @ freq=7943.3                               V (V) @ freq=10000                                V (V) @ freq=12589                                V (V) @ freq=15849                                V (V) @ freq=19953                                V (V) @ freq=25119                                V (V) @ freq=31623                                V (V) @ freq=39811                                V (V) @ freq=50119                                V (V) @ freq=63096                                V (V) @ freq=79433                                V (V) @ freq=1E5
-99.99999999999999        40                       0                        1.24999993011075E-14+5.563249968378067E-16i       1.2499999301107515E-14+7.003716757354261E-16i     1.2499999301107527E-14+8.817157002841944E-16i     1.2499999301107713E-14+1.1100143010656608E-15i    1.2499999301107646E-14+1.3974252110665005E-15i    1.2499999301107831E-14+1.7592541092934585E-15i    1.2499999301107952E-14+2.214769703992829E-15i     1.2499999301108225E-14+2.788229861628421E-15i     1.2499999301108645E-14+3.510173426727355E-15i     1.2499999301109314E-14+4.419046526711683E-15i     1.2499999301110338E-14+5.563249968378111E-15i     1.2499999301111954E-14+7.003716757354281E-15i     1.2499999301114516E-14+8.81715700284195E-15i      1.2499999301118569E-14+1.1100143010656609E-14i    1.2499999301125058E-14+1.3974252110665037E-14i    1.2499999301135378E-14+1.7592541092934417E-14i    1.249999930115168E-14+2.214769703992824E-14i      1.2499999301177473E-14+2.7882298616284257E-14i    1.249999930121841E-14+3.5101734267273585E-14i     1.2499999301283296E-14+4.419046526711677E-14i     1.2499999301386099E-14+5.5632499683780774E-14i
-110                      13.667660010041711       0                        0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0
-101.75844460604773       13.667660010041732       -4.440892098500626E-16   1.0301943664210158E-14+4.584983277484814E-16i     1.0301943664210171E-14+5.772151960676958E-16i     1.0301943664210188E-14+7.266708784033768E-16i     1.0301943664210325E-14+9.148244348327997E-16i     1.030194366421028E-14+1.1516957283412471E-15i     1.0301943664210426E-14+1.4498990190635984E-15i    1.0301943664210545E-14+1.8253147196345835E-15i    1.030194366421076E-14+2.297935085069926E-15i      1.0301943664211108E-14+2.892928873247924E-15i     1.030194366421164E-14+3.641981673044878E-15i      1.0301943664212496E-14+4.58498327748485E-15i      1.0301943664213828E-14+5.7721519606769714E-15i    1.0301943664215942E-14+7.266708784033774E-15i     1.0301943664219276E-14+9.148244348327992E-15i     1.0301943664224618E-14+1.1516957283412492E-14i    1.0301943664233144E-14+1.4498990190635855E-14i    1.0301943664246575E-14+1.825314719634579E-14i     1.0301943664267827E-14+2.2979350850699274E-14i    1.0301943664301567E-14+2.892928873247927E-14i     1.0301943664355039E-14+3.6419816730448714E-14i    1.0301943664439767E-14+4.584983277484831E-14i
-99.99999999999999        26.240662531751624       -1.3322676295501878E-15  1.2499999300942446E-14+5.563249968304602E-16i     1.2499999300942459E-14+7.003716757261781E-16i     1.2499999300942468E-14+8.817157002725515E-16i     1.2499999300942642E-14+1.110014301051003E-15i     1.2499999300942588E-14+1.397425211048048E-15i     1.2499999300942776E-14+1.7592541092702283E-15i    1.2499999300942898E-14+2.214769703963584E-15i     1.2499999300943175E-14+2.7882298615916046E-15i    1.2499999300943592E-14+3.510173426681003E-15i     1.2499999300944245E-14+4.4190465266533315E-15i    1.2499999300945281E-14+5.563249968304653E-15i     1.2499999300946889E-14+7.0037167572617975E-15i    1.2499999300949458E-14+8.817157002725531E-15i     1.2499999300953516E-14+1.1100143010510039E-14i    1.2499999300960003E-14+1.3974252110480512E-14i    1.2499999300970334E-14+1.759254109270212E-14i     1.2499999300986623E-14+2.2147697039635796E-14i    1.2499999301012415E-14+2.7882298615916083E-14i    1.249999930105335E-14+3.5101734266810113E-14i     1.2499999301118233E-14+4.419046526653323E-14i     1.2499999301221037E-14+5.563249968304622E-14i
-99.99999999999997        13.667660010041734       -2.220446049250313E-16   1.249999929863803E-14+5.563249967279001E-16i      1.2499999298638048E-14+7.003716755970626E-16i     1.2499999298638067E-14+8.817157001100051E-16i     1.2499999298638233E-14+1.11001430084637E-15i      1.2499999298638177E-14+1.397425210790429E-15i     1.2499999298638357E-14+1.7592541089459047E-15i    1.2499999298638496E-14+2.2147697035552844E-15i    1.249999929863876E-14+2.7882298610775855E-15i     1.2499999298639184E-14+3.5101734260338955E-15i    1.2499999298639828E-14+4.419046525838665E-15i     1.2499999298640869E-14+5.563249967279046E-15i     1.2499999298642481E-14+7.003716755970642E-15i     1.2499999298645048E-14+8.817157001100058E-15i     1.2499999298649095E-14+1.1100143008463693E-14i    1.2499999298655578E-14+1.3974252107904314E-14i    1.249999929866592E-14+1.7592541089458888E-14i     1.2499999298682216E-14+2.214769703555279E-14i     1.2499999298708004E-14+2.7882298610775874E-14i    1.2499999298748941E-14+3.5101734260339005E-14i    1.2499999298813823E-14+4.419046525838657E-14i     1.2499999298916628E-14+5.563249967279021E-14i
-99.99999999999999        -2.7735536104495138      0                        1.2499999298071744E-14+5.563249967026979E-16i     1.249999929807176E-14+7.003716755653332E-16i      1.2499999298071775E-14+8.817157000700596E-16i     1.2499999298071933E-14+1.1100143007960826E-15i    1.2499999298071886E-14+1.397425210727121E-15i     1.2499999298072078E-14+1.759254108866202E-15i     1.2499999298072192E-14+2.2147697034549457E-15i    1.249999929807248E-14+2.7882298609512676E-15i     1.2499999298072892E-14+3.510173425874871E-15i     1.2499999298073552E-14+4.419046525638469E-15i     1.249999929807458E-14+5.563249967027015E-15i      1.2499999298076199E-14+7.003716755653348E-15i     1.2499999298078777E-14+8.81715700070062E-15i      1.2499999298082807E-14+1.1100143007960811E-14i    1.2499999298089291E-14+1.3974252107271225E-14i    1.2499999298099631E-14+1.75925410886619E-14i      1.2499999298115918E-14+2.214769703454944E-14i     1.2499999298141719E-14+2.7882298609512722E-14i    1.2499999298182648E-14+3.5101734258748756E-14i    1.2499999298247537E-14+4.4190465256384594E-14i    1.2499999298350333E-14+5.563249967026985E-14i
-99.99999999999999        9.120329224321802        -4.440892098500626E-16   1.2499999298077717E-14+5.56324996702963E-16i      1.2499999298077733E-14+7.003716755656683E-16i     1.2499999298077752E-14+8.81715700070482E-16i      1.249999929807792E-14+1.1100143007966135E-15i     1.2499999298077865E-14+1.3974252107277894E-15i    1.2499999298078045E-14+1.7592541088670458E-15i    1.2499999298078184E-14+2.214769703456007E-15i     1.2499999298078447E-14+2.7882298609526024E-15i    1.249999929807887E-14+3.5101734258765513E-15i     1.2499999298079515E-14+4.419046525640581E-15i     1.2499999298080557E-14+5.5632499670296735E-15i    1.2499999298082169E-14+7.0037167556567006E-15i    1.2499999298084738E-14+8.81715700070483E-15i      1.2499999298088781E-14+1.110014300796613E-14i     1.2499999298095264E-14+1.3974252107277918E-14i    1.2499999298105608E-14+1.75925410886703E-14i      1.2499999298121903E-14+2.214769703456002E-14i     1.249999929814769E-14+2.7882298609526047E-14i     1.2499999298188629E-14+3.510173425876556E-14i     1.249999929825351E-14+4.419046525640573E-14i      1.2499999298356317E-14+5.563249967029649E-14i
-109.09080146657983       11.24185042146226        -2.220446049250313E-16   1.1364981026349E-15+5.0580987096416507E-17i       1.1364981026349029E-15+6.367769000931174E-17i     1.1364981026349037E-15+8.016546211707436E-17i     1.1364981026349177E-15+1.0092233740740751E-16i    1.1364981026349133E-15+1.2705369517985014E-16i    1.1364981026349313E-15+1.599511255242648E-16i     1.1364981026349413E-15+2.0136653656757392E-16i    1.1364981026349676E-15+2.5350544996989843E-16i    1.1364981026350048E-15+3.191444529954198E-16i     1.1364981026350632E-15+4.0177906190908354E-16i    1.1364981026351585E-15+5.058098709641692E-16i     1.1364981026353058E-15+6.367769000931196E-16i     1.13649810263554E-15+8.016546211707459E-16i       1.136498102635907E-15+1.0092233740740746E-15i     1.1364981026364966E-15+1.2705369517985051E-15i    1.1364981026374365E-15+1.5995112552426327E-15i    1.1364981026389174E-15+2.013665365675733E-15i     1.1364981026412627E-15+2.535054499698989E-15i     1.136498102644984E-15+3.191444529954204E-15i      1.1364981026508828E-15+4.017790619090829E-15i     1.1364981026602299E-15+5.0580987096416656E-15i
-109.99999999999999       11.24185042146226        0                        0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0                                                 0
-100                      11.241850421462274       -2.220446049250313E-16   1.2499999298046147E-14+5.563249967015578E-16i     1.2499999298046164E-14+7.003716755638995E-16i     1.2499999298046185E-14+8.817157000682553E-16i     1.2499999298046349E-14+1.1100143007938101E-15i    1.2499999298046297E-14+1.39742521072426E-15i      1.2499999298046473E-14+1.7592541088626026E-15i    1.2499999298046614E-14+2.2147697034504137E-15i    1.2499999298046877E-14+2.788229860945561E-15i     1.2499999298047302E-14+3.5101734258676864E-15i    1.2499999298047945E-14+4.41904652562942E-15i      1.2499999298048987E-14+5.563249967015622E-15i     1.24999992980506E-14+7.003716755639011E-15i       1.2499999298053169E-14+8.817157000682562E-15i     1.2499999298057211E-14+1.1100143007938094E-14i    1.2499999298063694E-14+1.3974252107242626E-14i    1.2499999298074039E-14+1.759254108862587E-14i     1.2499999298090335E-14+2.214769703450408E-14i     1.2499999298116122E-14+2.7882298609455627E-14i    1.249999929815706E-14+3.510173425867691E-14i      1.249999929822194E-14+4.4190465256294115E-14i     1.2499999298324747E-14+5.5632499670155985E-14i
